"","ZIP","CAPACITY","COUNT"
"550","08533",1852.827,168
"551","08534",2115.74,219
"552","08535",1007.74,86
"553","08536",2354.062,275
"554","08540",4574.505,464
"555","08542",57.32,8
"556","08543",45,1
"557","08544",4.76,1
"558","08546",11.93,1
"559","08550",3419.412,352
"560","08551",1370.523,131
"561","08552",55.62,7
"562","08553",124.665,13
"563","08554",355.54,41
"564","08555",79.325,9
"565","08556",24.206,4
"566","08557",35.675,4
"567","08558",1285.709,118
"568","08559",1122.397,103
"569","08560",1087.221,100
"570","08561",27.555,2
"571","08562",1205.14,111
"572","08570",9.69,1
"573","08574",17.6,1
"574","08579",11.02,1
"575","08601",6.11,1
"576","08602",12,1
"577","08608",8.475,2
"578","08609",198.33,27
"579","08610",4597.489,632
"580","08611",300.88,52
"581","08618",1659.539,236
"582","08619",3720.131,445
"583","08620",2375.552,289
"584","08628",1386.338,157
"585","08629",626.415,105
"586","08637",5.46,1
"587","08638",2219.16,302
"588","08640",5330.325,471
"589","08641",44.73,5
"590","08645",4.35,1
"591","08648",3705.078,461
"592","08650",25.48,2
"593","08652",26.95,1
"594","08690",3558.376,426
"595","08691",3070.455,330
"596","08701",15010.165,1426
"597","08720",204.445,21
"598","08721",8048.662,931
"599","08722",3720.945,446
"600","08723",8423.447,1007
"601","08724",7854.536,943
"602","08725",10.73,1
"603","08729",12.22,1
"604","08730",465.037,62
"605","08731",5914.276,673
"606","08732",210.586,24
"607","08733",1636.921,208
"608","08734",2610.7,291
"609","08735",416.514,64
"610","08736",1732.698,228
"611","08738",149.79,19
"612","08739",91.49,12
"613","08740",254.493,38
"614","08741",708.492,82
"615","08742",4599.052,582
"616","08750",412.619,53
"617","08751",250.254,39
"618","08752",502.733,80
"619","08753",17963.049,2141
"620","08754",19.32,2
"621","08755",5729.108,588
"622","08756",8.83,1
"623","08757",11227.334,1627
"624","08758",2422.351,309
"625","08759",13703.751,1469
"626","08768",5.2,1
"627","08801",813.441,77
"628","08802",856.638,79
"629","08803",51.01,5
"630","08804",530.935,48
"631","08805",1116.396,165
"632","08807",4415.555,540
"633","08808",20.075,2
"634","08809",647.915,65
"635","08810",1371.226,173
"636","08812",1626.862,213
"637","08815",5.72,1
"638","08816",6396.952,804
"639","08817",4624.578,634
"640","08820",4705.321,528
"641","08821",53.053,5
"642","08822",3986.315,392
"643","08823",1095.086,116
"644","08824",2549.467,327
"645","08825",990.694,95
"646","08826",780.194,75
"647","08827",796.457,71
"648","08828",241.18,25
"649","08829",235.481,29
"650","08830",2439.938,361
"651","08831",9083.514,946
"652","08832",315.37,44
"653","08833",1331.643,119
"654","08834",5.5,1
"655","08835",1909.975,282
"656","08836",499.785,50
"657","08837",1484.518,186
"658","08840",1730.294,232
"659","08844",8479.993,885
"660","08846",1971.101,248
"661","08848",1650.575,151
"662","08850",370.553,38
"663","08852",2430.538,260
"664","08853",774.371,76
"665","08854",8822.694,1181
"666","08855",19.67,3
"667","08857",5394.468,640
"668","08858",174.854,12
"669","08859",4616.816,581
"670","08861",4900.355,753
"671","08862",9.8,1
"672","08863",2249.168,324
"673","08865",2694.2,321
"674","08867",1375.143,111
"675","08869",969.795,129
"676","08870",1.8,1
"677","08872",3277.383,403
"678","08873",10350.348,1301
"679","08875",17.87,2
"680","08876",1569.196,210
"681","08877",9.2,1
"682","08879",3366.28,467
"683","08880",704.135,109
"684","08882",398.76,41
"685","08884",1751.319,215
"686","08885",9.154,2
"687","08886",967.79,100
"688","08887",36.23,5
"689","08888",57.58,5
"690","08889",1198.84,105
