"","ZIP","CAPACITY","COUNT","Zip_Income","Zip_Perc_White","Zip_Perc_Male"
"325","07938",14.5,2,NA,NA,NA
"326","07940",747.077,81,5589,85.2,48.2
"327","07945",474.047,37,3109,92.9,47.1
"328","07946",118.92,16,1110,89.7,49
"329","07950",854.65,102,7147,74.4,49
"330","07960",1337.825,154,18047,82.2,49.6
"331","07970",9.92,1,57,89.9,34.9
"332","07974",286.735,32,4134,83.1,50.1
"333","07976",146.154,11,302,97.4,48.8
"334","07977",15.09,2,231,81.4,47.7
"335","07979",8.4,1,205,93.3,33.7
"336","07980",137.323,15,905,88.8,54.4
"337","07981",637.16,78,3558,85.3,48.8
"338","08001",954.255,79,326,91.2,60.4
"339","08002",3995.405,473,8956,72,47.5
"340","08003",5435.994,605,10870,74.6,50.1
"341","08004",3117.578,360,4029,81.8,50.2
"342","08005",9887.492,1201,9357,91.1,49.2
"343","08006",196.91,33,177,94.7,43.8
"344","08007",635.475,86,2120,91.3,50.9
"345","08008",2287.541,362,3510,98.2,45.9
"346","08009",4308.601,464,4988,81.3,48.3
"347","08010",2321.555,308,4343,63,44.6
"348","08011",29.66,3,0,NA,NA
"349","08012",11368.983,1278,14658,78.1,49.6
"350","08014",145.61,18,187,100,57.8
"351","08015",4543.554,511,7161,67.9,49.5
"352","08016",8234.926,1012,12145,53.5,47.9
"353","08018",684.425,73,NA,NA,NA
"354","08019",480.475,35,370,85.6,56.5
"355","08020",1155.556,114,953,92.2,48
"356","08021",8153.805,1009,18316,55,46.7
"357","08022",5053.733,604,3711,78.9,50
"358","08023",117.02,15,143,97.2,46.3
"359","08024",5.2,1,NA,NA,NA
"360","08025",192.64,18,NA,NA,NA
"361","08026",360.91,44,760,89.6,47.9
"362","08027",2657.629,309,1926,93.3,45.2
"363","08028",4752.363,572,6479,65.2,50.6
"364","08029",1257.21,152,1972,93.1,44.3
"365","08030",1312.204,177,4623,82.4,47.6
"366","08031",2584.795,336,4392,79.9,50.1
"367","08032",202.495,23,NA,NA,NA
"368","08033",961.915,120,6054,95.6,49.9
"369","08034",2447.815,282,6893,77,48.2
"370","08035",502.11,66,3004,95.3,47.3
"371","08036",1641.905,172,2240,88.7,51.3
"372","08037",9845.783,925,8325,83.4,50.1
"373","08038",204.415,20,45,100,55.1
"374","08039",110.815,9,45,100,69.2
"375","08041",243.82,26,330,84.2,52.5
"376","08042",74.975,7,67,100,46.7
"377","08043",4385.862,503,11017,65.4,48.2
"378","08045",746.905,88,1129,6.8,46.4
"379","08046",15020.183,1910,10693,20.3,46.5
"380","08048",3311.846,342,4687,66.9,47.8
"381","08049",1415.915,192,2033,71.5,50.3
"382","08050",12203.347,1450,9935,92.3,48.8
"383","08051",2727.229,298,4176,90.6,42.9
"384","08052",2150.787,281,8285,75.3,48
