"","COUNTY","CUSTOMER_TYPE","THIRD_PARTY_OWNERSHIP","CAPACITY","COUNT"
"306","Sussex","Farm","Yes",82.8,2
"307","Sussex","Municipality","No",2138.885,6
"308","Sussex","Municipality","Yes",195.14,3
"309","Sussex","Non Profit","No",400.815,9
"310","Sussex","Non Profit","Yes",309.325,6
"311","Sussex","Public University","Yes",1405.99,10
"312","Sussex","Residential","No",5371.891,512
"313","Sussex","Residential","Yes",7964.156,828
"314","Sussex","School Other","No",92.69,1
"315","Sussex","School Public K-12","Yes",9010.3,25
"316","Union","Commercial","No",43822.921,193
"317","Union","Commercial","Yes",23189.889,64
"318","Union","Government Facility","Yes",136.4,3
"319","Union","Municipality","No",199.64,2
"320","Union","Municipality","Yes",748.695,12
"321","Union","Non Profit","No",251.73,7
"322","Union","Non Profit","Yes",2465.68,12
"323","Union","Residential","No",12122.217,1569
"324","Union","Residential","Yes",33050.852,4967
"325","Union","School Other","Yes",1421.29,6
"326","Union","School Public K-12","No",1212.05,8
"327","Union","School Public K-12","Yes",7124.51,32
"328","Warren","Commercial","No",31534.306,68
"329","Warren","Commercial","Yes",42564.9,21
"330","Warren","Farm","No",20418.61,16
"331","Warren","Farm","Yes",126.23,3
"332","Warren","Government Facility","Yes",1203.68,2
"333","Warren","Municipality","No",364.08,8
"334","Warren","Non Profit","No",112.665,7
"335","Warren","Non Profit","Yes",27,1
"336","Warren","Residential","No",4534.088,473
"337","Warren","Residential","Yes",7226.928,779
"338","Warren","School Other","No",21.12,1
"339","Warren","School Other","Yes",2053.62,4
"340","Warren","School Public K-12","No",500.39,2
"341","Warren","School Public K-12","Yes",2730.3,6
