"","ZIP","CAPACITY","COUNT","Income","Perc_White","Perc_Male","Total_Occ_House","Adoption_Rate"
"147","07460",163.68,19,1269,95.9,52.4,1269,0.0149724192277384
"148","07461",1274.848,121,6583,94.9,48.3,6583,0.0183806775026584
"149","07462",221.585,23,2553,92.9,53.2,2553,0.00900900900900901
"150","07463",328.592,49,3566,88.8,49.3,3566,0.0137408861469434
"151","07465",343.619,41,2553,93.8,49.1,2553,0.0160595377986682
"152","07470",3689.131,399,18350,87,47.9,18350,0.0217438692098093
"153","07479",7.65,1,NA,NA,NA,NA,NA
"154","07480",1243.123,130,6026,94.5,48.9,6026,0.0215731828742117
"155","07481",188.781,25,5833,93.3,47.7,5833,0.00428595919766844
"156","07501",590.835,79,10745,22.4,49,10745,0.00735225686365752
"157","07502",1132.485,169,4504,38.7,50.1,4504,0.0375222024866785
"158","07503",823.995,109,5399,41.2,52.4,5399,0.0201889238747916
"159","07504",486.985,74,3682,27.6,47.5,3682,0.020097772949484
"160","07505",5.36,1,1034,33.8,49.7,1034,0.000967117988394584
"161","07506",921.415,125,7118,86.3,50.8,7118,0.0175611126720989
"162","07508",1687.5,239,7541,77,48.4,7541,0.0316934093621536
"163","07511",8.28,1,NA,NA,NA,NA,NA
"164","07512",1229.855,157,3595,83.5,48.4,3595,0.0436717663421419
"165","07513",750.215,97,3324,21.1,48.1,3324,0.0291817087845969
"166","07514",643.918,91,6099,15.4,47.2,6099,0.014920478767011
"167","07522",330.56,52,6078,38.1,44.6,6078,0.00855544587035209
"168","07524",464.915,64,4181,42.5,49.9,4181,0.0153073427409711
"169","07574",5.51,1,NA,NA,NA,NA,NA
"170","07601",1611.112,241,19080,49.9,48,19080,0.0126310272536688
"171","07603",620.665,97,2792,66,46.8,2792,0.0347421203438395
"172","07604",1226.53,196,4224,75.5,49.2,4224,0.0464015151515152
"173","07605",305.707,46,3355,52.6,49.9,3355,0.0137108792846498
"174","07606",204.89,28,794,86,53.6,794,0.035264483627204
"175","07607",673.53,103,3511,70.4,46.3,3511,0.0293363714041584
"176","07620",183.013,16,564,59.9,46.7,564,0.0283687943262411
"177","07621",2916.067,412,8946,55.9,47.5,8946,0.0460541023921306
"178","07624",234.995,23,2778,55.8,51.7,2778,0.00827933765298776
"179","07626",340.44,34,2812,68.1,49.7,2812,0.0120910384068279
"180","07627",236.823,17,1680,68.9,48.4,1680,0.0101190476190476
"181","07628",1409.94,199,6370,73.7,47.9,6370,0.0312401883830455
"182","07630",541.32,63,2541,83.1,45.8,2541,0.0247933884297521
"183","07631",1724.375,197,11087,52.6,46.4,11087,0.0177685577703617
"184","07632",327.03,33,1843,51.2,49.4,1843,0.0179055887140532
"185","07640",196.8,20,1626,77.4,49.7,1626,0.01230012300123
"186","07641",183.575,21,1113,80.6,49.6,1113,0.0188679245283019
"187","07642",463.557,51,3475,85.1,48,3475,0.0146762589928058
"188","07643",1440.064,219,4096,62.9,51.7,4096,0.053466796875
"189","07644",2462.883,385,8805,74.6,47.1,8805,0.043725156161272
"190","07645",314.24,32,2975,78.4,46.1,2975,0.0107563025210084
"191","07646",750.481,109,5859,72.2,49.2,5859,0.0186038573135347
"192","07647",435.617,51,1713,70.8,49.4,1713,0.0297723292469352
"193","07648",322.43,31,2160,67.2,44.5,2160,0.0143518518518519
"194","07649",254.185,31,2788,77.3,51.2,2788,0.0111190817790531
"195","07650",221.15,30,7403,31.3,51,7403,0.00405241118465487
